Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
F[C@@H]1C=2[C@@](C)([C@H]3[C@@H](O)C[C@]4(C)[C@@](O)(C(=O)CO)[C@H](C)C[C@H]4[C@@H]3C1)C=CC(=O)C=2,,,,,,,,,1.0,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,1.0
C=C1C[C@@]23CCC4[C@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)C2CC[C@]1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,,,,,,,,,0.0,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,0.0
[O:1]=[C:2]1[CH2:3][CH2:4][C:5]2([OH:6])[CH:7]3[N:8]([CH3:9])[CH2:10][CH2:11][C:12]24[c:13]5[c:14]([O:15][CH:16]14)[c:17]([OH:18])[cH:19][cH:20][c:21]5[CH2:22]3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,1.0
O(C)[C@@H]1[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](OC)C2)[C@H](C)O[C@@H](O[C@H]\2[C@@H](C)/C=C/C=C\3/[C@]4(O)[C@@H]([C@H](O)C(C)=C[C@H]4C(=O)O[C@@H]4C[C@@]5(O[C@H]([C@@H](CC)C)[C@@H](C)CC5)O[C@@H](C4)C/C=C/2\C)OC/3)C1,,,,,,,,,1.0,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,1.0
O=C(N)C(=O)C(N=C(O)[C@H]1N(C(=O)[C@@H](N=C(O)NC(C)(C)C)C(C)(C)C)C[C@@H]2C(C)(C)[C@H]12)CC1CCC1,,,,,,,,,1.0,CC(C)(C)NC(O)=NC(C(=O)N1CC2C(C1C(O)=NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,1.0
Brc1cnc(OCCOC2=C(c3ccc(Br)cc3)C(=NS(=O)(=O)NCCC)N=CN2)nc1,,,,,,1.0,1.0,,1.0,CCCNS(=O)(=O)N=c1nc[nH]c(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,3.0
[O:1]=[C:2]([NH2:3])[c:4]1[cH:5][cH:6][c:7]2[nH:8][c:9]3[c:10]([c:11]2[cH:12]1)[CH2:13][CH:14]([NH:15][CH3:16])[CH2:17][CH2:18]3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CNC1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,1.0
O=[N+]([O-])c1ccc(O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,O=[N+]([O-])c1ccc(O)cc1,1.0
CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,1.0
CNCCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1.0
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,8.0
Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1.0
Clc1ccc(C2CCC(C3=C(O)C(=O)c4c(C3=O)cccc4)CC2)cc1,,,,,,,,,1.0,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,1.0
[O:1]=[C:2]([NH:3][CH:4]1[CH2:5][CH2:6][CH:7]([CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][N:13]([c:14]3[cH:15][cH:16][cH:17][c:18]([Cl:19])[c:20]3[Cl:21])[CH2:22][CH2:23]2)[CH2:24][CH2:25]1)[N:26]([CH3:27])[CH3:28],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,2.0
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)SCF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)SCF,2.0
OC(=N[C@H](CO)C)[C@@H]1C=C2[C@H](N(C)C1)Cc1c3c([nH]c1)cccc23,,,,,,,,,1.0,CC(CO)N=C(O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,1.0
CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1.0
COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC,2.0
C=C(C(CC=C(C)C)OC(=O)/C(C)=C\C)C1C(OC(C)=O)C(=O)[C@]2(C)OC2C1O,,,,,,,,,0.0,C=C(C(CC=C(C)C)OC(=O)C(C)=CC)C1C(OC(C)=O)C(=O)C2(C)OC2C1O,0.0
Clc1c(OC)ccc(CN=C2C(C(O)=NCc3ncccn3)=CN=C(N3[C@H](CO)CCC3)N2)c1,,,,,,,,,1.0,COc1ccc(CN=c2[nH]c(N3CCCC3CO)ncc2C(O)=NCc2ncccn2)cc1Cl,1.0
C[C@]12CCC(O)CC1CCC1C2C(=O)C[C@]2(CO)C(C(=O)CO)CCC12,,,,,,,,,0.0,CC12CCC(O)CC1CCC1C2C(=O)CC2(CO)C(C(=O)CO)CCC12,0.0
CN[C@@]1(c2ccccc2Cl)CCCCC1=O,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,CNC1(c2ccccc2Cl)CCCCC1=O,3.0
COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,8.0
O=C1C=C2[C@@H]([C@@H]3[C@H]([C@H]4[C@@](CC)([C@](O)(C#C)C=C4)CC3)CC2)CC1,,,,,,,,,1.0,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,1.0
