Smiles,atom_target
[F:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C:8]2=[N:9][CH:10]([OH:11])[c:12]3[cH:13][n:14][c:15]([n:16]3-[c:17]4[cH:18][cH:19][c:20]([Cl:21])[cH:22][c:23]24)[CH3:24],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]([C:5]1=[CH:6][CH:7]=[C:8]2[O:9][C:10](=[N:11][C:12]2=[CH:13]1)[C:14]3=[CH:15][CH:16]=[C:17]([Cl:18])[CH:19]=[CH:20]3)[CH3:21],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[C:9]1[C:10]2=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]2)[CH2:16][N:17]3[C:18]4=[CH:19][C:20](=[CH:21][C:22](=[C:23]4[N:24]=[C:25]3[CH2:26][CH2:27][CH3:28])[CH3:29])[C:30]5=[N:31][C:32]6=[CH:33][CH:34]=[CH:35][CH:36]=[C:37]6[N:38]5[CH3:39],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([F:7])[cH:8][cH:9]1)[CH2:10][CH2:11][CH2:12][N:13]2[CH2:14][CH2:15][C:16]([OH:17])([c:18]3[cH:19][cH:20][c:21]([Cl:22])[cH:23][cH:24]3)[CH2:25][CH2:26]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[CH:7]=[CH:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[C:15]2=[C:16]4[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]1[C:5]2=[CH:6][CH:7]=[C:8]([O:9][CH2:10][C:11]=3[CH:12]=[CH:13][CH:14]=[C:15]([CH:16]3)[C:17]=4[C:18](=[CH:19][C:20]([O:21][CH2:22][CH2:23][CH2:24][S:25](=[O:26])(=[O:27])[CH3:28])=[CH:29][C:30]4[CH2:31][OH:32])[CH3:33])[CH:34]=[C:35]2[O:36][CH2:37]1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][c:2]1[cH:3][c:4]([OH:5])[cH:6][c:7]([cH:8]1)[CH:9]([OH:10])[CH2:11][NH:12][C:13]([CH3:14])([CH3:15])[CH3:16],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH:5]([OH:6])[CH2:7][CH:8]([OH:9])[CH2:10][CH2:11][N:12]1[C:13]([C:14]2=[CH:15][CH:16]=[C:17]([F:18])[CH:19]=[CH:20]2)=[C:21]([C:22]3=[CH:23][CH:24]=[CH:25][CH:26]=[CH:27]3)[C:28]([C:29](=[O:30])[NH:31][C:32]4=[CH:33][CH:34]=[CH:35][CH:36]=[CH:37]4)=[C:38]1[CH:39]([CH3:40])[CH3:41],"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][C:2]1=[CH:3][CH:4]=[C:5]2[C:6](=[CH:7]1)[CH:8]([OH:9])[CH2:10][C:11]3=[CH:12][CH:13]=[CH:14][N:15]=[C:16]3[C:17]2=[C:18]4[CH2:19][CH2:20][NH:21][CH2:22][CH2:23]4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[c:3]2[s:4][cH:5][cH:6][c:7]2[C:8]([c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[CH2:15]1)=[C:16]4[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([NH:3][C:4]1=[CH:5][CH:6]=[C:7]([OH:8])[CH:9]=[CH:10]1)[NH:11][C:12]2=[CH:13][CH:14]=[N:15][C:16]([Cl:17])=[CH:18]2,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]1[CH2:5][CH2:6][CH2:7][CH2:8][CH:9]1[CH2:10][N:11]2[C:12](=[O:13])[CH:14]3[CH:15]([C:16]2=[O:17])[CH:18]4[CH2:19][CH2:20][CH:21]3[CH:22]4[OH:23],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[C:3]([OH:4])=[C:5]([O:6][C:7]2=[CH:8][C:9]([OH:10])=[CH:11][C:12]([OH:13])=[C:14]12)[C:15]3=[CH:16][CH:17]=[C:18]([OH:19])[C:20]([OH:21])=[CH:22]3,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[OH:1][CH:2]1[CH:3]=[CH:4][CH:5]2[CH:6]3[N:7]([CH3:8])[CH2:9][CH2:10][C:11]24[c:12]5[c:13]([O:14][CH:15]14)[c:16]([O:17][CH3:18])[cH:19][cH:20][c:21]5[CH2:22]3,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH2:4][CH3:5])[c:6]1[c:7]2[c:8]([cH:9][c:10]([Br:11])[c:12]([OH:13])[c:14]2[CH2:15][N:16]([CH3:17])[CH3:18])[n:19]([c:20]1[CH2:21][S:22](=[O:23])(=[O:24])[c:25]3[cH:26][cH:27][cH:28][cH:29][cH:30]3)[CH3:31],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[N:3]=[C:4]([NH2:5])[C:6]([F:7])=[CH:8][N:9]1[CH:10]2[O:11][CH:12]([S:13][CH2:14]2)[CH2:15][OH:16],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
[O:1]=[C:2]1[NH:3][C:4]=2[CH:5]=[CH:6][CH:7]=[C:8]([C:9]2[CH2:10]1)[CH2:11][CH2:12][NH:13][CH2:14][CH2:15][CH3:16],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[Cl:1][c:2]1[cH:3][cH:4][cH:5][c:6]([c:7]1[Cl:8])-[c:9]2[n:10][n:11][c:12]([n:13][c:14]2[NH2:15])[NH2:16],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH2:5][N:6]([C:7](=[O:8])[C:9]1=[CH:10][CH:11]=[C:12]2[C:13]([N:14]=[C:15]([N:16]2[CH3:17])[CH2:18][NH:19][C:20]3=[CH:21][CH:22]=[C:23]([CH:24]=[CH:25]3)[C:26](=[NH:27])[NH2:28])=[CH:29]1)[C:30]=4[N:31]=[CH:32][CH:33]=[CH:34][CH:35]4,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)[cH:16][cH:17]1)[c:18]3[c:19]([s:20][c:21]4[cH:22][c:23]([OH:24])[cH:25][cH:26][c:27]34)-[c:28]5[cH:29][cH:30][c:31]([OH:32])[cH:33][cH:34]5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
